route_key,api_id,route_id,api_gateway_managed,api_key_required,authorization_type,authorizer_id,model_selection_expression,operation_name,route_response_selection_expression,target,authorization_scopes,request_models,request_parameters,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
GET /practitioner/cbo,8qrolkeoo1,w3k5pvf,,false,CUSTOM,d37m4h,,,,integrations/mhvywfn,,,,w3k5pvf,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/w3k5pvf""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /test,8qrolkeoo1,4frxw8p,,false,CUSTOM,d37m4h,,,,integrations/2w007u5,,,,4frxw8p,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/4frxw8p""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/cpffinal,8qrolkeoo1,jahzvv6,,false,CUSTOM,d37m4h,,,,integrations/3ibbxj0,,,,jahzvv6,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/jahzvv6""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/nome,8qrolkeoo1,uphftfp,,false,CUSTOM,d37m4h,,,,integrations/vkz6wsm,,,,uphftfp,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/uphftfp""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/especialidade,8qrolkeoo1,po3ekti,,false,CUSTOM,d37m4h,,,,integrations/9wt09dt,,,,po3ekti,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/po3ekti""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/nomeDeprecated,8qrolkeoo1,myf9hb1,,false,CUSTOM,d37m4h,,,,integrations/6xi4on9,,,,myf9hb1,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/myf9hb1""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/usuarioHSL,8qrolkeoo1,jm29a3o,,false,CUSTOM,d37m4h,,,,integrations/yq1q73u,,,,jm29a3o,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/jm29a3o""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/cpf,8qrolkeoo1,tbfyi9c,,false,CUSTOM,d37m4h,,,,integrations/nex0rkh,,,,tbfyi9c,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/tbfyi9c""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner,8qrolkeoo1,unvmafv,,false,CUSTOM,d37m4h,,,,integrations/2w007u5,,,{},unvmafv,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/unvmafv""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/nomeEspecialidade,8qrolkeoo1,p0bh5cs,,false,CUSTOM,d37m4h,,,,integrations/7fh1p6g,,,,p0bh5cs,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/p0bh5cs""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
