Name,API Name,Memory,vCPUs,Storage,On Demand Cost,Reserved Cost
R7I 16xlarge Extra Large,r7i.16xlarge.search,512 GiB,64,EBS Only,$6.7740 hourly,$4.6740 hourly
R7I Extra Large,r7i.xlarge.search,32 GiB,4,EBS Only,$0.4230 hourly,$0.2920 hourly
R6GD Memory Optimized (NVME SSD) Extra Large,r6gd.xlarge.search,32 GiB,4,1 x 237 NVMe SSD,$0.3820 hourly,$0.2640 hourly
OR1 Medium,or1.medium.search,8 GiB,1,EBS Only,$0.1050 hourly,$0.0720 hourly
OR1 Quadruple Extra Large,or1.4xlarge.search,128 GiB,16,EBS Only,$1.6740 hourly,$1.1550 hourly
I2 Storage Optimized Extra Large,i2.xlarge.search,30.5 GiB,4,1 x 800 SSD,$1.1940 hourly,unavailable
R7G Extra Large,r7g.xlarge.search,32 GiB,4,EBS Only,$0.3560 hourly,$0.2460 hourly
R6G Memory Optimized Quadruple Extra Large,r6g.4xlarge.search,128 GiB,16,EBS Only,$1.3390 hourly,$0.9240 hourly
M6G General Purpose Eight Extra Large,m6g.8xlarge.search,128 GiB,32,EBS Only,$2.0450 hourly,$1.4110 hourly
C7I 16xlarge Extra Large,c7i.16xlarge.search,128 GiB,64,EBS Only,$4.5700 hourly,$3.1530 hourly
M3 General Purpose Medium,m3.medium.search,3.75 GiB,1,1 x 4 SSD,$0.0940 hourly,unavailable
OR2 Eight Extra Large,or2.8xlarge.search,256 GiB,32,EBS Only,$3.2000 hourly,$2.2080 hourly
OR1 Extra Large,or1.xlarge.search,32 GiB,4,EBS Only,$0.4190 hourly,$0.2890 hourly
OR2 16xlarge Extra Large,or2.16xlarge.search,512 GiB,64,EBS Only,$6.4000 hourly,$4.4160 hourly
C6G Compute Optimized 12xlarge Extra Large,c6g.12xlarge.search,96 GiB,48,EBS Only,$2.7090 hourly,$1.8690 hourly
R3 Memory Optimized Extra Large,r3.xlarge.search,30.5 GiB,4,1 x 80 SSD,$0.4900 hourly,unavailable
IM4GN Extra Large,im4gn.xlarge.search,16 GiB,4,1 x 1875 SSD,$0.5460 hourly,$0.3770 hourly
M3 General Purpose Large,m3.large.search,7.5 GiB,2,1 x 32 SSD,$0.1880 hourly,unavailable
I4G Double Extra Large,i4g.2xlarge.search,64 GiB,8,"1 x 1,875 Nitro SSD",$0.9880 hourly,$0.6820 hourly
C7G 12xlarge Extra Large,c7g.12xlarge.search,96 GiB,48,EBS Only,$2.8880 hourly,$1.9930 hourly
R6GD Memory Optimized (NVME SSD) Quadruple Extra Large,r6gd.4xlarge.search,128 GiB,16,1 x 950 NVMe SSD,$1.5300 hourly,$1.0560 hourly
I4G Large,i4g.large.search,16 GiB,2,1 x 468 Nitro SSD,$0.2470 hourly,$0.1700 hourly
R3 Memory Optimized Large,r3.large.search,15 GiB,2,1 x 32 SSD,$0.2450 hourly,unavailable
OR1 Eight Extra Large,or1.8xlarge.search,256 GiB,32,EBS Only,$3.3460 hourly,$2.3090 hourly
R7GD Eight Extra Large,r7gd.8xlarge.search,256 GiB,32,1 x 1900 NVMe SSD,$3.6140 hourly,$2.4940 hourly
I4I Large,i4i.large.search,16 GiB,2,1 x 468 Nitro SSD,$0.2750 hourly,$0.1900 hourly
R6GD Memory Optimized (NVME SSD) 16xlarge Extra Large,r6gd.16xlarge.search,512 GiB,64,2 x 1900 NVMe SSD,$6.1190 hourly,$4.2220 hourly
R3 Memory Optimized Double Extra Large,r3.2xlarge.search,61 GiB,8,1 x 160 SSD,$0.9800 hourly,unavailable
OM2 Eight Extra Large,om2.8xlarge.search,128 GiB,32,EBS Only,$2.4410 hourly,$1.6840 hourly
M3 General Purpose Extra Large,m3.xlarge.search,15 GiB,4,2 x 40 SSD,$0.3760 hourly,unavailable
C4 Compute Optimized Double Extra Large,c4.2xlarge.search,15 GiB,8,EBS Only,$0.5870 hourly,$0.4050 hourly
OR2 Medium,or2.medium.search,8 GiB,1,EBS Only,$0.1000 hourly,$0.0690 hourly
R6GD Memory Optimized (NVME SSD) Large,r6gd.large.search,16 GiB,2,1 x 118 NVMe SSD,$0.1910 hourly,$0.1320 hourly
OR1 Double Extra Large,or1.2xlarge.search,64 GiB,8,EBS Only,$0.8360 hourly,$0.5770 hourly
IM4GN 16xlarge Extra Large,im4gn.16xlarge.search,256 GiB,64,4 x 7500 SSD,$8.7310 hourly,$6.0250 hourly
OR2 Large,or2.large.search,16 GiB,2,EBS Only,$0.2000 hourly,$0.1380 hourly
I4G Eight Extra Large,i4g.8xlarge.search,256 GiB,32,"2 x 3,750 Nitro SSD",$3.9540 hourly,$2.7280 hourly
M4 General Purpose Deca Extra Large,m4.10xlarge.search,160 GiB,40,EBS Only,$3.0170 hourly,$2.0820 hourly
OM2 16xlarge Extra Large,om2.16xlarge.search,256 GiB,64,EBS Only,$4.8830 hourly,$3.3690 hourly
