Name,API Name,Memory,vCPUs,Network Performance,Redis Cost,Redis Reserved Cost,Memcached On Demand Cost,Memcached Reserved Cost,Valkey On Demand Cost,Valkey Reserved Cost
M2 General Purpose Quadruple Extra Large,cache.m2.4xlarge,68 GiB,8 vCPUs,High,$1.2070 hourly,unavailable,$1.2070 hourly,unavailable,$0.9656 hourly,unavailable
C7GN Eight Extra Large,cache.c7gn.8xlarge,52.26 GiB,32 vCPUs,100 Gigabit,$4.0730 hourly,$2.7700 hourly,$4.0730 hourly,$2.7700 hourly,$3.2584 hourly,$2.2160 hourly
M1 Previous generation: (not recommended) Small,cache.m1.small,1.3 GiB,1 vCPUs,Low,$0.0550 hourly,unavailable,$0.0550 hourly,unavailable,$0.0440 hourly,unavailable
R6gd Memory optimized (SSD storage) Quadruple Extra Large,cache.r6gd.4xlarge,105.81 GiB,16 vCPUs,Up to 10 Gigabit,$3.1200 hourly,$2.1210 hourly,unavailable,unavailable,$2.4960 hourly,$1.6968 hourly
R6gd Memory optimized (SSD storage) Double Extra Large,cache.r6gd.2xlarge,52.82 GiB,8 vCPUs,Up to 10 Gigabit,$1.5600 hourly,$1.0610 hourly,unavailable,unavailable,$1.2480 hourly,$0.8488 hourly
C7GN Large,cache.c7gn.large,3.09 GiB,2 vCPUs,Up to 30 Gigabit,$0.2550 hourly,$0.1730 hourly,$0.2550 hourly,$0.1730 hourly,$0.2040 hourly,$0.1384 hourly
M3 Previous generation: (not recommended) Double Extra Large,cache.m3.2xlarge,27.9 GiB,8 vCPUs,High,$0.7280 hourly,unavailable,$0.7280 hourly,unavailable,$0.5824 hourly,unavailable
R4 Memory optimized Eight Extra Large,cache.r4.8xlarge,203.26 GiB,32 vCPUs,10 Gigabit,$3.6400 hourly,unavailable,$3.6400 hourly,unavailable,$2.9120 hourly,unavailable
M1 Previous generation: (not recommended) Large,cache.m1.large,7.1 GiB,2 vCPUs,Moderate,$0.2260 hourly,unavailable,$0.2260 hourly,unavailable,$0.1808 hourly,unavailable
C7GN Double Extra Large,cache.c7gn.2xlarge,12.94 GiB,8 vCPUs,Up to 50 Gigabit,$1.0180 hourly,$0.6920 hourly,$1.0180 hourly,$0.6920 hourly,$0.8144 hourly,$0.5536 hourly
